id,state,name
461,12,ZAPOTITLAN TABLAS
462,12,ACATEPEC
463,12,JOSE JOAQUIN DE HERRERA
464,12,ILIATENCO
465,12,COCHOAPA EL GRANDE
466,12,SANTA CRUZ DEL RINCON
467,12,ATENANGO DEL RIO
468,12,COCULA
469,12,COPALILLO
470,12,CHILAPA DE ALVAREZ
471,12,HUITZUCO DE LOS FIGUEROA
472,12,IGUALA DE LA INDEPENDENCIA
473,12,MARTIR DE CUILAPAN
474,12,QUECHULTENANGO
475,12,TEPECOACUILCO DE TRUJANO
476,12,ZITLALA
477,12,CHILPANCINGO DE LOS BRAVO
478,12,EDUARDO NERI
479,12,GENERAL HELIODORO CASTILLO
480,12,LEONARDO BRAVO
481,12,MOCHITLAN
482,12,TIXTLA DE GUERRERO
483,12,AYUTLA DE LOS LIBRES
484,12,AZOYU
485,12,COPALA
486,12,CUAJINICUILAPA
487,12,CUAUTEPEC
488,12,FLORENCIO VILLARREAL
489,12,IGUALAPA
490,12,JUAN R. ESCUDERO
491,12,METLATONOC
492,12,OMETEPEC
493,12,SAN LUIS ACATLAN
494,12,SAN MARCOS
495,12,TECOANAPA
496,12,TLACOACHISTLAHUACA
497,12,XOCHISTLAHUACA
498,12,MARQUELIA
499,12,JUCHITAN
500,12,ÑUU SAVI
501,12,LAS VIGAS
502,12,SAN NICOLAS
503,13,ATLAPEXCO
504,13,CALNALI
505,13,ELOXOCHITLAN
506,13,HUAUTLA
507,13,HUAZALINGO
508,13,HUEJUTLA DE REYES
509,13,JALTOCAN
510,13,JUAREZ HIDALGO
511,13,LOLOTLA
512,13,MOLANGO DE ESCAMILLA
513,13,SAN FELIPE ORIZATLAN
514,13,TEPEHUACAN DE GUERRERO
515,13,TIANGUISTENGO
516,13,TLANCHINOL
517,13,XOCHIATIPAN
518,13,XOCHICOATLAN
519,13,YAHUALICA
520,13,ZACUALTIPAN DE ANGELES
521,13,ALFAJAYUCAN
522,13,CARDONAL
523,13,CHAPULHUACAN
524,13,CHILCUAUTLA
525,13,IXMIQUILPAN
526,13,JACALA DE LEDEZMA
527,13,LA MISION
528,13,MIXQUIAHUALA DE JUAREZ
529,13,NICOLAS FLORES
530,13,PACULA
531,13,PISAFLORES
532,13,PROGRESO DE OBREGON
533,13,SAN SALVADOR
534,13,SANTIAGO DE ANAYA
535,13,TASQUILLO
536,13,TECOZAUTLA
537,13,TLAHUILTEPA
538,13,ZIMAPAN
539,13,ACTOPAN
540,13,ATOTONILCO EL GRANDE
541,13,EL ARENAL
542,13,EPAZOYUCAN
543,13,HUASCA DE OCAMPO
544,13,METZTITLAN
545,13,MINERAL DEL CHICO
546,13,MINERAL DEL MONTE
547,13,MINERAL DE LA REFORMA
548,13,OMITLAN DE JUAREZ
549,13,SAN AGUSTIN METZQUITITLAN
550,13,SINGUILUCAN
551,13,ACATLAN
552,13,ACAXOCHITLAN
553,13,AGUA BLANCA DE ITURBIDE
554,13,CUAUTEPEC DE HINOJOSA
555,13,HUEHUETLA
556,13,METEPEC
557,13,SAN BARTOLO TUTOTEPEC
558,13,SANTIAGO TULANTEPEC DE LUGO GUERRERO
559,13,TENANGO DE DORIA
560,13,TULANCINGO DE BRAVO
561,13,ATITALAQUIA
562,13,ATOTONILCO DE TULA
563,13,CHAPANTONGO
564,13,HUICHAPAN
565,13,NOPALA DE VILLAGRAN
566,13,TEPEJI DEL RIO DE OCAMPO
567,13,TEPETITLAN
568,13,TEZONTEPEC DE ALDAMA
569,13,TLAXCOAPAN
570,13,TULA DE ALLENDE
571,13,AJACUBA
572,13,FRANCISCO I. MADERO
573,13,PACHUCA DE SOTO
574,13,SAN AGUSTIN TLAXIACA
575,13,TETEPANGO
576,13,TLAHUELILPAN
577,13,ALMOLOYA
578,13,APAN
579,13,EMILIANO ZAPATA
580,13,TEPEAPULCO
581,13,TIZAYUCA
582,13,TLANALAPA
583,13,TOLCAYUCA
584,13,VILLA DE TEZONTEPEC
585,13,ZAPOTLAN DE JUAREZ
586,13,ZEMPOALA
587,14,AHUALULCO DE MERCADO
588,14,AMATITAN
589,14,AMECA
590,14,SAN JUANITO DE ESCOBEDO
591,14,EL ARENAL
592,14,BOLAÑOS
593,14,COLOTLAN
594,14,CHIMALTITAN
595,14,ETZATLAN
596,14,HOSTOTIPAQUILLO
597,14,HUEJUCAR
598,14,HUEJUQUILLA EL ALTO
599,14,MAGDALENA
600,14,MEZQUITIC
601,14,SAN CRISTOBAL DE LA BARRANCA
602,14,SAN MARCOS
603,14,SAN MARTIN DE BOLAÑOS
604,14,SANTA MARIA DE LOS ANGELES
605,14,TALA
606,14,TEQUILA
607,14,TEUCHITLAN
608,14,TOTATICHE
609,14,VILLA GUERRERO
610,14,ENCARNACION DE DIAZ
611,14,LAGOS DE MORENO
612,14,OJUELOS DE JALISCO
613,14,SAN JUAN DE LOS LAGOS
614,14,TEOCALTICHE
615,14,UNION DE SAN ANTONIO
616,14,VILLA HIDALGO
617,14,ACATIC
618,14,CUQUIO
619,14,IXTLAHUACAN DEL RIO
620,14,JUANACATLAN
621,14,MEXTICACAN
622,14,TEPATITLAN DE MORELOS
623,14,TOTOTLAN
624,14,VALLE DE GUADALUPE
625,14,CAÑADAS DE OBREGON
626,14,YAHUALICA DE GONZALEZ GALLO
627,14,ZAPOTLAN DEL REY
628,14,ZAPOTLANEJO
629,14,SAN IGNACIO CERRO GORDO
630,14,ZAPOPAN
631,14,ATENGO
632,14,ATENGUILLO
633,14,CABO CORRIENTES
634,14,CUAUTLA
635,14,GUACHINANGO
636,14,MASCOTA
637,14,MIXTLAN
638,14,PUERTO VALLARTA
639,14,SAN SEBASTIAN DEL OESTE
640,14,TALPA DE ALLENDE
641,14,TOMATLAN
642,14,ZAPOPAN
643,14,TONALA
644,14,GUADALAJARA
645,14,GUADALAJARA
646,14,ZAPOPAN
647,14,GUADALAJARA
648,14,TLAJOMULCO DE ZUÑIGA
649,14,ZAPOPAN
650,14,GUADALAJARA
651,14,SAN PEDRO TLAQUEPAQUE
652,14,TLAJOMULCO DE ZUÑIGA
653,14,ARANDAS
654,14,ATOTONILCO EL ALTO
655,14,AYOTLAN
656,14,LA BARCA
657,14,DEGOLLADO
658,14,JALOSTOTITLAN
659,14,JAMAY
660,14,JESUS MARIA
661,14,SAN DIEGO DE ALEJANDRIA
662,14,SAN JULIAN
663,14,SAN MIGUEL EL ALTO
664,14,SAN PEDRO TLAQUEPAQUE
665,14,ACATLAN DE JUAREZ
666,14,CHAPALA
667,14,IXTLAHUACAN DE LOS MEMBRILLOS
668,14,JAMAY
669,14,JOCOTEPEC
670,14,OCOTLAN
671,14,PONCITLAN
672,14,TECHALUTA DE MONTENEGRO
673,14,VILLA CORONA
674,14,ZACOALCO DE TORRES
675,14,AMACUECA
676,14,ATEMAJAC DE BRIZUELA
677,14,AUTLAN DE NAVARRO
678,14,AYUTLA
679,14,CASIMIRO CASTILLO
680,14,CIHUATLAN
681,14,SAN GABRIEL
682,14,COCULA
683,14,CUAUTITLAN DE GARCIA BARRAGAN
684,14,CHIQUILISTLAN
685,14,EJUTLA
686,14,EL GRULLO
687,14,LA HUERTA
688,14,JUCHITLAN
689,14,EL LIMON
690,14,VILLA PURIFICACION
691,14,SAN MARTIN HIDALGO
692,14,TAPALPA
693,14,TECOLOTLAN
694,14,TENAMAXTLAN
695,14,TOLIMAN
696,14,TONAYA
697,14,TUXCACUESCO
698,14,UNION DE TULA
699,14,ZAPOTITLAN DE VADILLO
700,14,ATOYAC
701,14,ZAPOTLAN EL GRANDE
702,14,CONCEPCION DE BUENOS AIRES
703,14,GOMEZ FARIAS
704,14,JILOTLAN DE LOS DOLORES
705,14,SANTA MARIA DEL ORO
706,14,LA MANZANILLA DE LA PAZ
707,14,MAZAMITLA
708,14,PIHUAMO
709,14,QUITUPAN
710,14,SAYULA
711,14,TAMAZULA DE GORDIANO
712,14,TECALITLAN
713,14,TEOCUITATLAN DE CORONA
714,14,TIZAPAN EL ALTO
715,14,TONILA
716,14,TUXCUECA
717,14,TUXPAN
718,14,VALLE DE JUAREZ
719,14,ZAPOTILTIC
720,14,EL SALTO
721,14,SAN PEDRO TLAQUEPAQUE
722,14,TONALA
723,15,ACAMBAY DE RUIZ CASTAÑEDA
724,15,ACULCO
725,15,CHAPA DE MOTA
726,15,JILOTEPEC
727,15,MORELOS
728,15,EL ORO
729,15,POLOTITLAN
730,15,SOYANIQUILPAN DE JUAREZ
731,15,TEMASCALCINGO
732,15,TIMILPAN
733,15,CUAUTITLAN
734,15,MELCHOR OCAMPO
735,15,TULTEPEC
736,15,ATLACOMULCO
737,15,IXTLAHUACA
738,15,JIQUIPILCO
739,15,JOCOTITLAN
740,15,NICOLAS ROMERO
741,15,TECAMAC
742,15,TEMASCALAPA
743,15,TEOTIHUACAN
744,15,COACALCO DE BERRIOZABAL
745,15,TULTITLAN
746,15,CUAUTITLAN IZCALLI
747,15,CUAUTITLAN IZCALLI
748,15,TULTITLAN
749,15,DONATO GUERRA
750,15,SAN FELIPE DEL PROGRESO
751,15,VILLA DE ALLENDE
752,15,VILLA VICTORIA
753,15,SAN JOSE DEL RINCON
754,15,ECATEPEC DE MORELOS
